fen,target_ks,target_total,our_total_base,our_ks_base,tier,phase_bucket,split
r5k1/8/4R3/p2N4/P1K5/8/8/8 w - - 13 72,5.535,4.42,7.56,0.0,target,endgame,train
2k5/2rp4/1pP4p/6p1/5r2/4qN2/2Q1B1RP/5R1K b - - 0 36,1.5,4.34,7.717,1.62,working,midgame,train
6k1/2R5/KN6/P4r2/8/8/8/8 b - - 6 85,1.468,5.31,9.555,0.0,target,endgame,val
1rr3k1/5pp1/2qpb2p/b3n3/4PB1P/2P5/PP3PP1/1KNQR2R b - - 3 26,-6.81,-99.0,-3.052,0.0,target,opening,train
8/P4pk1/3q3p/3P1p2/8/7P/5K2/3R4 b - - 0 43,-3.81,-5.18,-7.873,0.0,target,endgame,train
8/6p1/2BkPb1p/3P1P2/pK2b1P1/7P/8/8 w - - 5 73,-0.015,-3.77,-0.051,0.0,calm,adveg,train
1N2k1r1/4bp2/4RQ1p/pp3p2/P7/6P1/1P3P1P/6K1 b - - 0 41,0.0,7.67,12.474,0.0,calm,endgame,train
2q1k3/1p2p3/2ppp3/3nP2p/3P4/r1PB2QP/3N1PK1/1R6 w - - 0 27,2.067,5.96,2.339,0.0,target,midgame,train
r2qr1k1/p4ppp/b1n1pb2/2Pp4/N7/3p1NPP/P4P2/1RBQKB1R b K - 1 15,-2.247,-2.9,-0.313,-1.8,working,opening,train
5k2/2R5/6p1/5r2/8/6K1/8/8 b - - 3 56,0.0,-0.15,-1.099,0.0,target,adveg,val
2k2N2/8/p2B2p1/7p/2p5/2P2PP1/P5KP/1R6 w - - 0 32,0.0,99.0,22.535,0.0,calm,adveg,train
7R/8/3B2k1/8/1P3P2/2r5/5K1P/8 b - - 3 63,2.15,6.0,12.528,0.0,target,endgame,train
8/6k1/1n3pp1/P6p/1BpnB2P/3p2P1/5P2/4K3 b - - 2 53,0.0,2.82,-2.893,0.0,target,adveg,train
4r1k1/1p3p2/6p1/1P5n/P1P5/5q2/2Q4p/1K1R4 b - - 0 55,-0.95,-7.34,-7.473,-1.17,working,midgame,train
4r1k1/1p1q1p2/p2b1npp/3pn3/P2N4/1P2PN1P/1B3PP1/1QrR2K1 w - - 0 21,0.0,0.25,-1.33,0.0,target,opening,val
8/4k1p1/4P2p/p4B2/PbrP4/5bP1/5P1P/1R4K1 w - - 9 51,0.0,-4.83,-1.456,0.0,target,endgame,train
8/1p6/pb4k1/8/1P4PB/P1Nr3p/2n4P/5R1K b - - 2 47,0.0,-1.21,-2.799,0.0,target,endgame,val
r2qkr2/1pp1b2p/p2p2p1/4n3/2PN2bN/8/PPK4Q/R1B2B1R b q - 1 17,-1.595,-3.53,-1.072,0.0,target,opening,train
8/1k6/2p1p3/R1p1Bp1n/NrP5/1P2bK2/P7/8 b - - 1 45,2.797,1.99,-1.858,0.0,target,endgame,train
4nk2/5P1p/1p4pN/p1n5/4QB2/7P/6K1/3R1n2 b - - 0 39,0.0,99.0,12.81,0.0,calm,endgame,val
8/8/8/P7/6k1/2B1P3/2P1K3/7R b - - 0 51,0.0,99.0,22.519,0.0,calm,adveg,train
5r1k/6p1/1p2B2P/p2p4/1n5b/4Pp2/3K4/2R5 w - - 0 36,-1.54,-5.56,-12.408,0.0,target,endgame,train
2b5/1p2bk1p/2r5/5P2/5BP1/p1P2P1P/PP6/2KRR3 b - - 0 27,1.17,5.1,8.669,0.0,target,endgame,train
r6r/pp1qpkb1/2n1Rnpp/3p2p1/2PP4/BP4P1/P2N1PBP/R3Q1K1 w - - 3 17,1.395,2.62,3.867,1.26,working,opening,train
8/8/8/3k4/2pp4/1p6/8/2K5 b - - 0 58,-2.085,-11.65,-12.124,0.0,target,adveg,train
3r4/6pk/3P1p1p/1B6/2n1P1P1/7P/8/3K4 w - - 0 60,-4.22,-4.04,-2.559,0.0,target,adveg,train
2r5/6R1/8/1p2B2k/5P1p/P4K1n/1P5P/8 b - - 9 55,2.372,3.88,6.301,0.0,target,endgame,train
2q2k2/Qp2pp2/6pb/3p4/1PnP3r/P1B2P2/5P1P/R4R1K b - - 0 26,-1.935,-11.29,-0.536,-1.62,working,midgame,train
qk1r3r/p2b1pp1/Bppbpn2/RP2N1B1/2PP3p/7P/4QPP1/1R3NK1 b - - 3 29,3.99,5.1,-1.034,0.0,target,opening,val
r1bqkb1r/1pp2pp1/p6p/2nNp3/2BnP3/P4N2/1PP2PPP/R1B1KQ1R w KQkq - 8 13,-1.44,0.53,-2.151,-1.44,working,opening,train
8/6R1/1kp5/p7/1PK5/8/P1P5/8 w - - 0 47,0.0,99.0,11.972,0.0,calm,adveg,val
r4rk1/p1q2pb1/1p3npp/4p3/3n3N/2NPB1P1/PPP2PbP/R2Q1RK1 w - - 0 16,0.0,-0.31,-2.343,0.0,target,opening,val
r1bqk2r/pppn1pp1/3b3p/1B2p3/1n2P3/1QN1BN2/PPP2PPP/R4RK1 b kq - 5 10,1.44,0.54,3.603,1.44,working,opening,train
8/8/p1k2p1p/P2p4/1p1K1pPP/1P3P2/8/8 w - - 3 44,-0.135,-4.58,-1.289,0.0,calm,adveg,val
5b1r/Q5p1/P7/7p/2p5/n4k1P/8/5K2 b - - 0 45,0.0,0.0,-4.696,0.0,target,endgame,train
8/5r1p/p2r2p1/1p2k1PN/4p2P/3bP3/6QK/8 w - - 0 42,0.0,0.18,-5.109,0.0,target,endgame,train
7R/5k2/8/3P1p2/pP1K1Pp1/8/2b5/8 w - - 1 69,3.765,6.01,2.602,0.0,target,adveg,train
